feature,importance
text_feat_216,0.0
text_feat_217,0.0
text_feat_218,0.0
text_feat_219,0.0
text_feat_220,0.0
text_feat_221,0.0
text_feat_222,0.0
text_feat_223,0.0
text_feat_224,0.0
text_feat_225,0.0
text_feat_226,0.0
text_feat_227,0.0
text_feat_228,0.0
text_feat_229,0.0
text_feat_230,0.0
text_feat_231,0.0
text_feat_232,0.0
text_feat_233,0.0
text_feat_234,0.0
text_feat_235,0.0
text_feat_236,0.0
text_feat_237,0.0
text_feat_238,0.0
text_feat_239,0.0
text_feat_240,0.0
text_feat_241,0.0
text_feat_242,0.0
text_feat_243,0.0
text_feat_244,0.0
text_feat_245,0.0
text_feat_246,0.0
text_feat_247,0.0
text_feat_248,0.0
text_feat_249,0.0
text_feat_250,0.0
text_feat_251,0.0
text_feat_252,0.0
text_feat_253,0.0
text_feat_254,0.0
text_feat_255,0.0
text_feat_256,0.0
text_feat_257,0.0
text_feat_258,0.0
text_feat_259,0.0
text_feat_260,0.0
text_feat_261,0.0
text_feat_262,0.0
text_feat_263,0.0
text_feat_264,0.0
text_feat_265,0.0
text_feat_266,0.0
text_feat_267,0.0
text_feat_268,0.0
text_feat_269,0.0
text_feat_270,0.0
text_feat_271,0.0
text_feat_272,0.0
text_feat_273,0.0
text_feat_274,0.0
text_feat_275,0.0
text_feat_276,0.0
text_feat_277,0.0
text_feat_278,0.0
text_feat_279,0.0
text_feat_280,0.0
text_feat_281,0.0
text_feat_282,0.0
text_feat_283,0.0
text_feat_284,0.0
text_feat_285,0.0
text_feat_286,0.0
text_feat_287,0.0
text_feat_288,0.0
text_feat_289,0.0
text_feat_290,0.0
text_feat_291,0.0
text_feat_292,0.0
text_feat_293,0.0
text_feat_294,0.0
text_feat_295,0.0
text_feat_296,0.0
text_feat_297,0.0
text_feat_298,0.0
text_feat_299,0.0
text_feat_300,0.0
text_feat_301,0.0
text_feat_302,0.0
text_feat_303,0.0
text_feat_304,0.0
text_feat_305,0.0
text_feat_306,0.0
text_feat_307,0.0
text_feat_308,0.0
text_feat_309,0.0
text_feat_310,0.0
text_feat_311,0.0
text_feat_312,0.0
text_feat_313,0.0
text_feat_314,0.0
text_feat_315,0.0
text_feat_316,0.0
text_feat_317,0.0
text_feat_318,0.0
text_feat_319,0.0
text_feat_320,0.0
text_feat_321,0.0
text_feat_322,0.0
text_feat_323,0.0
text_feat_324,0.0
text_feat_325,0.0
text_feat_326,0.0
text_feat_327,0.0
text_feat_328,0.0
text_feat_329,0.0
text_feat_330,0.0
text_feat_331,0.0
text_feat_332,0.0
text_feat_333,0.0
text_feat_334,0.0
text_feat_335,0.0
text_feat_336,0.0
text_feat_337,0.0
text_feat_338,0.0
text_feat_339,0.0
text_feat_340,0.0
text_feat_341,0.0
text_feat_342,0.0
text_feat_343,0.0
text_feat_344,0.0
text_feat_345,0.0
text_feat_346,0.0
text_feat_347,0.0
text_feat_348,0.0
text_feat_349,0.0
text_feat_350,0.0
text_feat_351,0.0
text_feat_352,0.0
text_feat_353,0.0
img_text_similarity,0.0
text_feat_355,0.0
text_feat_356,0.0
text_feat_357,0.0
text_feat_358,0.0
text_feat_359,0.0
text_feat_360,0.0
text_feat_361,0.0
text_feat_362,0.0
text_feat_363,0.0
text_feat_364,0.0
text_feat_365,0.0
text_feat_366,0.0
text_feat_367,0.0
text_feat_368,0.0
text_feat_369,0.0
text_feat_370,0.0
text_feat_371,0.0
likes,0.0
text_feat_373,0.0
text_feat_374,0.0
text_feat_375,0.0
text_feat_376,0.0
text_feat_377,0.0
text_feat_378,0.0
text_feat_379,0.0
text_feat_380,0.0
text_feat_381,0.0
text_feat_382,0.0
text_feat_383,0.0
text_feat_384,0.0
text_feat_385,0.0
text_feat_386,0.0
text_feat_387,0.0
text_feat_388,0.0
text_feat_389,0.0
text_feat_390,0.0
text_feat_391,0.0
text_feat_392,0.0
text_feat_393,0.0
text_feat_394,0.0
text_feat_395,0.0
text_feat_396,0.0
text_feat_397,0.0
text_feat_398,0.0
text_feat_399,0.0
text_feat_400,0.0
text_feat_401,0.0
text_feat_402,0.0
text_feat_403,0.0
text_feat_404,0.0
text_feat_405,0.0
text_feat_406,0.0
text_feat_407,0.0
text_feat_408,0.0
text_feat_409,0.0
text_feat_410,0.0
text_feat_411,0.0
text_feat_412,0.0
text_feat_413,0.0
text_feat_414,0.0
text_feat_415,0.0
text_feat_416,0.0
text_feat_417,0.0
text_feat_418,0.0
text_feat_419,0.0
text_feat_420,0.0
text_feat_421,0.0
text_feat_422,0.0
text_feat_423,0.0
text_feat_424,0.0
text_feat_425,0.0
text_feat_426,0.0
text_feat_427,0.0
text_feat_428,0.0
text_feat_429,0.0
